128,1,50,inf
128,1,50,7.344820646762848
128,1,50,5.99269951236248
128,1,50,5.434887488762538
128,1,50,5.118045955121517
128,1,50,5.012835445573015
128,1,100,inf
128,1,100,7.0475050573349
128,1,100,5.71059833419323
128,1,100,5.551613743714872
128,1,200,inf
128,1,200,6.901070710659027
128,1,200,6.661769398275639
256,1,50,inf
256,1,50,6.236024855136871
256,1,50,5.110660974144936
256,1,50,4.643940816879272
256,1,50,4.373969529628754
256,1,50,4.2829832775653225
256,1,100,inf
256,1,100,5.7706592915058135
256,1,100,4.771374049663543
256,1,100,4.6504646407589885
256,1,200,inf
256,1,200,5.68942540717125
256,1,200,5.505013348929403
512,1,50,inf
512,1,50,5.369547275781631
512,1,50,4.465563059329987
512,1,50,4.064285299062729
512,1,50,3.8272578602433205
512,1,50,3.7466700834178903
512,1,100,inf
512,1,100,5.200700496196747
512,1,100,4.230343075871468
512,1,100,4.105185532580581
512,1,200,inf
512,1,200,4.927790591239929
512,1,200,4.762088896671429
128,2,50,inf
128,2,50,7.0908667201995845
128,2,50,5.665031975746155
128,2,50,5.083035024722418
128,2,50,4.753005021572113
128,2,50,4.643001166232687
128,2,100,inf
128,2,100,6.7265365114212035
128,2,100,5.370846820831299
128,2,100,5.210275126765693
128,2,200,inf
128,2,200,6.543856974601746
128,2,200,6.301934345226442
256,2,50,inf
256,2,50,6.281041520357132
256,2,50,5.010060032248497
256,2,50,4.487786136865616
256,2,50,4.182001373171806
256,2,50,4.078220773903504
256,2,100,inf
256,2,100,5.906874052524566
256,2,100,4.697297370314598
256,2,100,4.550853779092398
256,2,200,inf
256,2,200,5.5493403456211094
256,2,200,5.346789648556515
512,2,50,inf
512,2,50,6.78155433177948
512,2,50,5.1014157269001
512,2,50,4.439388778209686
512,2,50,4.067008053064346
512,2,50,3.941234564775842
512,2,100,inf
512,2,100,5.28760162115097
512,2,100,4.123957297444344
512,2,100,3.9815799981395776
512,2,200,inf
512,2,200,6.456747248411179
512,2,200,6.105248624725961
128,3,50,inf
128,3,50,7.598828073501587
128,3,50,5.879121551036834
128,3,50,5.190497195959091
128,3,50,4.802066618919373
128,3,50,4.673575917122262
128,3,100,inf
128,3,100,7.1314866082668305
128,3,100,5.527503937721252
128,3,100,5.339252764465243
128,3,200,inf
128,3,200,7.005054677248001
128,3,200,6.71777719522619
256,3,50,inf
256,3,50,6.423559018850327
256,3,50,5.044061150074005
256,3,50,4.487199357112249
256,3,50,4.166933648645878
256,3,50,4.0586750080136875
256,3,100,inf
256,3,100,5.861997232675552
256,3,100,4.622763656735421
256,3,100,4.472916010304276
256,3,200,inf
256,3,200,6.046707335948944
256,3,200,5.785027722822211
512,3,50,inf
512,3,50,14.080391457557678
512,3,50,8.973960261940956
512,3,50,7.141095506668091
512,3,50,6.171995117247104
512,3,50,5.860934119610595
512,3,100,inf
512,3,100,10.604662606954575
512,3,100,6.862582191944123
512,3,100,6.447552122947826
512,3,200,inf
512,3,200,28.499814725875854
512,3,200,27.324275838028104
